date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:25:10	3449/3449	------	200	untouched ('')	image/png	etag:%2230a9c2084b7d3d8fe1abf628a46786fd%22	https://507386.fs1.hubspotusercontent-na1.net/hubfs/507386/CLEAN-images/lazy-imgs/lazy-img-800x500.png	C:/Mes%20Sites%20Web/mjs2/507386.fs1.hubspotusercontent-na1.net/hubfs/507386/CLEAN-images/lazy-imgs/lazy-img-800x500.png	(from https://www.markjsmith.com/en/home)
20:25:10	18602/18602	------	200	untouched ('')	image/png	etag:%22832946d9e868593a8c5bcaf35b297dbc%22	https://www.markjsmith.com/hubfs/Screenshot%202024-09-16%20at%201.24.52%20PM.png	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/hubfs/Screenshot%202024-09-16%20at%201.24.52%20PM.png	(from https://www.markjsmith.com/en/home)
20:25:10	0/-1	---M--	307	error ('')			https://www.markjsmith.com/got-a-story?hsLang=en	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/got-a-story.38c6eb.delayed	(from https://www.markjsmith.com/en/home)
20:25:10	0/0	------	307	error ('Temporary%20Redirect')	text/html	date:Tue,%2026%20Nov%202024%2014:39:11%20GMT	https://www.markjsmith.com/tip-mark-smith?hsLang=en	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/tip-mark-smith.39c6eb.delayed	(from https://www.markjsmith.com/en/home)
20:25:10	35809/35809	------	200	untouched ('OK')	image/svg+xml	etag:W/%22660eed1ecc8bf89d13555d686ccb4528%22	https://www.markjsmith.com/hubfs/BiteRiot-premium-australian-fruit-logo-web.svg	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/hubfs/BiteRiot-premium-australian-fruit-logo-web.svg	(from https://www.markjsmith.com/en/home)
20:25:10	158632/158632	------	200	untouched ('')	image/png	etag:%2256a7ec4187a935879278fa3c15ee9b3b%22	https://www.markjsmith.com/hubfs/Imported_Blog_Media/Screen-Shot-2021-01-08-at-3_36_02-pm.png	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/hubfs/Imported_Blog_Media/Screen-Shot-2021-01-08-at-3_36_02-pm.png	(from https://www.markjsmith.com/en/home)
20:25:10	99044/99044	------	200	untouched ('')	image/jpeg	etag:%2233a9cc29f2816bbc958f17566df1cf7e%22	https://www.markjsmith.com/hubfs/stevenpapermaster.com/Imported_Blog_Media/Fiona-Hall-r0_0_4288_2411_w1200_h678_fmax-1.jpg	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/hubfs/stevenpapermaster.com/Imported_Blog_Media/Fiona-Hall-r0_0_4288_2411_w1200_h678_fmax-1.jpg	(from https://www.markjsmith.com/en/home)
20:25:10	413119/413119	------	200	untouched ('')	image/png	etag:%2240251407ed3ef6025f771699b52c526f%22	https://www.markjsmith.com/hubfs/DCPS%20website/Mirosevich/richard%20mirosevich%20IMG_1036(1).png	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/hubfs/DCPS%20website/Mirosevich/richard%20mirosevich%20IMG_1036(1).png	(from https://www.markjsmith.com/en/home)
20:25:10	0/0	------	307	error ('Temporary%20Redirect')	text/html	date:Tue,%2026%20Nov%202024%2014:39:14%20GMT	https://www.markjsmith.com/blog/sheikha-salama-bint-sultan-bin-zayed-al-nahyan-and-two-s-holdings-and-steven-papermaster?hsLang=en	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/blog/sheikha-salama-bint-sultan-bin-zayed-al-nahyan-and-two-s-holdings-and-steven-papermaster.3dc6eb.delayed	(from https://www.markjsmith.com/en/home)
20:25:10	33159/33159	------	200	untouched ('')	image/jpeg	etag:%22b68c12c3843b159162d6307c1db2576f%22	https://www.markjsmith.com/hubfs/DCPS%20website/Profile%20files/richard%20mirosevich%20fibreglass-pools-direct-brp-profile-photo-3-copy.jpg	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/hubfs/DCPS%20website/Profile%20files/richard%20mirosevich%20fibreglass-pools-direct-brp-profile-photo-3-copy.jpg	(from https://www.markjsmith.com/en/home)
20:25:10	5179/5179	------	200	untouched ('')	image/jpeg	etag:%224f8374f3650ae3df9e2c687d32331436%22	https://www.markjsmith.com/hubfs/Richard%20Mirosevich%2035b4aff8-7e93-4a7c-bee6-01d79d53ef82.jpeg	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/hubfs/Richard%20Mirosevich%2035b4aff8-7e93-4a7c-bee6-01d79d53ef82.jpg	(from https://www.markjsmith.com/en/home)
20:25:10	213745/213745	------	200	untouched ('')	image/png	etag:%2208f4a47009a93b8c304a7465ad31fd08%22	https://www.markjsmith.com/hubfs/instapools%20Screenshot%202024-02-11%20at%209.31.10%20am.png	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/hubfs/instapools%20Screenshot%202024-02-11%20at%209.31.10%20am.png	(from https://www.markjsmith.com/en/home)
20:25:10	661/661	------	200	untouched ('')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/images/emoji.php/v9/t65/2/16/1f6a9.png	C:/Mes%20Sites%20Web/mjs2/static.xx.fbcdn.net/images/emoji.php/v9/t65/2/16/1f6a9.png	(from https://www.markjsmith.com/en/home)
20:25:10	0/0	------	307	error ('Temporary%20Redirect')	text/html	date:Tue,%2026%20Nov%202024%2014:39:19%20GMT	https://www.markjsmith.com/blog/2020/12/mohan-kumar-profile?hsLang=en	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/blog/2020/12/mohan-kumar-profile.42c6eb.delayed	(from https://www.markjsmith.com/en/home)
20:25:10	367166/367166	------	200	untouched ('')	image/png	etag:%22827d4a6ae212a5f976b4a465f47093df%22	https://www.markjsmith.com/hubfs/stevenpapermaster.com/Imported_Blog_Media/Screen-Shot-2022-08-30-at-12_40_47-pm-1024x502-3.png	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/hubfs/stevenpapermaster.com/Imported_Blog_Media/Screen-Shot-2022-08-30-at-12_40_47-pm-1024x502-3.png	(from https://www.markjsmith.com/en/home)
20:25:10	587444/587444	------	200	untouched ('')	image/png	etag:%22272b9bf9ba86aefc4ade0a3fbd6b0fda%22	https://www.markjsmith.com/hubfs/stevenpapermaster.com/Imported_Blog_Media/Screen-Shot-2022-12-05-at-1_26_45-pm-1024x587-Jun-03-2023-03-57-22-9830-AM.png	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/hubfs/stevenpapermaster.com/Imported_Blog_Media/Screen-Shot-2022-12-05-at-1_26_45-pm-1024x587-Jun-03-2023-03-57-22-9830-AM.png	(from https://www.markjsmith.com/en/home)
20:25:10	1250/1250	------	200	untouched ('OK')	text/css	etag:W/%22289e6e7a8d2f9d4a4ad6db3c194c4ed4%22	https://www.markjsmith.com/hs-fs/hub/4799618/hub_generated/template_assets/107106078508/1730836566899/CLEAN_x_markjsmithcom/css/modules/row-blog-post-thumbnails.min.css	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/hs-fs/hub/4799618/hub_generated/template_assets/107106078508/1730836566899/CLEAN_x_markjsmithcom/css/modules/row-blog-post-thumbnails.min.css	(from https://www.markjsmith.com/en/home)
20:25:10	37288/37288	------	200	untouched ('')	font/woff2	etag:%22b06b2c970ed2869a177643b4cac7fee7%22	https://www.markjsmith.com/_hcms/googlefonts/Roboto/500.woff2	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/_hcms/googlefonts/Roboto/500.woff2	(from https://www.markjsmith.com/en/home)
20:25:10	0/0	------	307	error ('Temporary%20Redirect')	text/html	date:Tue,%2026%20Nov%202024%2014:39:22%20GMT	https://www.markjsmith.com/blog/2021/01/westpac-v-ollis-facts?hsLang=en	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/blog/2021/01/westpac-v-ollis-facts.45c6eb.delayed	(from https://www.markjsmith.com/en/home)
20:25:10	48256/48256	------	200	untouched ('')	font/woff	etag:%22d095c909b2886a9c4420045b6b54f835%22	https://www.markjsmith.com/_hcms/googlefonts/Roboto/500.woff	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/_hcms/googlefonts/Roboto/500.woff	(from https://www.markjsmith.com/en/home)
